Thai_Name,Botanical_NoAuthor,Botanical_Name,Count_Tags,Cout_GBH_2023,Cout_GBH_2025,Min_Height_2023,Mean_Height_2023,Max_Height_2023,Min_Height_2025,Mean_Height_2025,Max_Height_2025
มะค่าโมง,Afzelia xylocarpa,"Afzelia xylocarpa (Kurz) Craib",148,60,147,3,9.07,16.3,2,10.24,150
มะดัน,Garcinia schomburgkiana,Garcinia schomburgkiana Pierre,2,2,2,3.5,4.25,5,7.9,12.95,18
มะตาด,Dillenia indica,Dillenia indica L.,1,1,1,5.5,5.5,5.5,7.4,7.4,7.4
มะตูม,Aegle marmelos,"Aegle marmelos (L.) Corrêa",5,3,4,3.5,6.3,9.1,8,10.78,14.1
มะนาว,Citrus aurantifolia,"Citrus aurantifolia (Christm.) Swingle",1,0,1,,,,8.3,8.3,8.3
มะนาวผี,Atalantia monophylla,Atalantia monophylla DC.,24,20,23,3.2,8.08,12.1,4,6.63,9.5
มะปริง,Bouea oppositifolia,"Bouea oppositifolia (Roxb.) Meisn.",3,0,3,,,,3.5,10.4,16.2
มะฝ่อ,Mallotus nudiflorus,"Mallotus nudiflorus (L.) Kulju & Welzen",6,3,6,10,13.27,16,13,14.48,16.6
มะพร้าวนกกก,Horsfieldia glabra,"Horsfieldia glabra (Blume) Warb.",1,1,1,26.2,26.2,26.2,,,
มะพอก,Parinari anamensis,Parinari anamensis Hance,58,14,58,6,9.79,14,3.5,11.75,35
มะม่วง,Mangifera indica,Mangifera indica L.,57,15,57,2.32,9.25,24.2,1,9.56,22.2
มะม่วงป่า,Mangifera caloneura,Mangifera caloneura Kurz,9,3,9,8,8.83,10.5,7.2,10.39,15.5
มะม่วงหัวแมงวัน,Buchanania cochinchinensis,"Buchanania cochinchinensis (Lour.) M.R.Almeida",55,25,54,3.2,8.43,15,3.8,8.13,19
มะม่วงหิมพานต์,Anacardium occidentale,Anacardium occidentale L.,11,4,11,4.5,5.4,6.8,1.1,4.81,7.5
มะยมป่า,Ailanthus triphysa,"Ailanthus triphysa (Dennst.) Alston",3,1,3,10.5,10.5,10.5,17.4,20.33,25.6
มะรุม,Moringa oleifera,Moringa oleifera Lam.,3,2,3,6,6.1,6.2,7,7.7,8.4
มะหนามนึ้ง,Meyna pubescens,"Meyna pubescens (Kurz) Robyns",2,1,2,5.2,5.2,5.2,5,5.55,6.1
มะหวด,Lepisanthes rubiginosa,"Lepisanthes rubiginosa (Roxb.) Leenh.",30,11,30,4,6.25,10,2.3,6.33,13.5
มะหาด,Artocarpus lacucha,Artocarpus lacucha Roxb. ex Buch.-Ham.,16,9,16,1,7.69,15,3.7,10.21,17
มะหาดไทย,Artocarpus thailandicus,Artocarpus thailandicus C.C.Berg,1,0,1,,,,7.4,7.4,7.4
มะฮอกกานีใบใหญ่,Swietenia macrophylla,Swietenia macrophylla King,95,46,92,5,8.24,14.2,2.7,10.61,24.4
มะฮังใหญ่,Macaranga pruinosa,"Macaranga pruinosa (Miq.) Müll. Arg.",1,0,1,,,,6.7,6.7,6.7
มะเกลือ,Diospyros mollis,Diospyros mollis Griff.,51,17,51,5.7,10.52,21.3,2.5,10.53,21.8
มะเกี๋ยง,Syzygium nervosum,Syzygium nervosum A.Cunn. ex DC.,8,8,8,6,7.72,11,6.2,8.38,12
มะเดื่อกวาง,Ficus callosa,Ficus callosa Willd.,4,4,4,8,14.18,20.4,10.6,16.5,20.6
มะเดื่อปล้อง,Ficus hispida,Ficus hispida L.f.,2,2,2,4.5,6.75,9,4.93,7.31,9.7
มะเดื่ออุทุมพร,Ficus racemosa,Ficus racemosa L.,3,2,3,6.9,8.45,10,6.2,8.77,12.6
มะเฟือง,Averrhoa carambola,Averrhoa carambola L.,7,5,7,5.5,6.1,6.7,6,7.47,10.5
มะแฟน,Protium serratum,"Protium serratum (Wall. ex Colebr.) Engl.",3,1,3,10.2,10.2,10.2,18.4,20.07,21.8
มะไฟ,Baccaurea ramiflora,Baccaurea ramiflora Lour.,3,0,3,,,,4.3,7.07,9
มักน้ำนองต้น,Elaeodendron glaucum,"Elaeodendron glaucum (Rottb.) Pers.",1,1,1,14.7,14.7,14.7,12,12,12
มังคุด,Garcinia mangostana,Garcinia mangostana L.,3,0,3,,,,3.8,4.87,5.8
ยมชวน,Khaya senegalensis,"Khaya senegalensis (Desr.) A. Juss.",6,0,6,,,,14.7,18.3,20.4
ยมหอม,Toona ciliata,Toona ciliata M.Roem.,5,0,5,,,,3.3,10.96,15.1
ยมหิน,Chukrasia tabularis,Chukrasia tabularis A.Juss.,119,68,116,2.1,6.67,15.9,2.9,8.67,23
ยอบ้าน,Morinda citrifolia,Morinda citrifolia L.,4,1,4,6,6,6,4,4.85,5.6
ยอป่า,Morinda tomentosa,Morinda tomentosa B.Heyne ex Roth,19,4,19,2.8,4.13,4.7,3.4,6.77,9.8
ยอป่าใบเกลี้ยง,Morinda coreia,Morinda coreia Buch.-Ham.,21,7,21,4.5,9.79,16,0,8.24,15.6
ยอเถื่อน,Morinda elliptica,"Morinda elliptica (Hook.f.) Ridl.",6,3,6,6.3,8.53,12.1,5.8,9.98,14
ยางกราด,Dipterocarpus intricatus,Dipterocarpus intricatus Dyer,8,0,8,,,,6,14.5,19.8
ยางนา,Dipterocarpus alatus,Dipterocarpus alatus Roxb. ex G.Don,426,151,424,2,8.86,27,1.1,15.88,279
ยางพลวง,Dipterocarpus tuberculatus,Dipterocarpus tuberculatus Roxb.,47,22,44,2.2,8.27,20.4,2,12.23,23
ยางพารา,Hevea brasiliensis,"Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.",99,58,99,7,14.99,18,5.3,12.69,20
ยางเหียง,Dipterocarpus obtusifolius,Dipterocarpus obtusifolius Teijsm. ex Miq.,67,11,67,5.5,13.45,20,3.8,11.94,87
ยางโอน,Monoon viride,"Monoon viride (Craib) B.Xue & R.M.K.Saunders",7,3,7,4.5,5.5,7,3.2,7.56,12.5
ยี่โถ,Nerium oleander,Nerium oleander L.,1,1,0,2.5,2.5,2.5,,,
ยูคาลิปตัส,Eucalyptus camaldulensis,Eucalyptus camaldulensis Dehnh.,28,11,28,10.2,14.34,26.6,9.4,15.82,31.5
ยูคาลิปตัสสีรุ้ง,Eucalyptus deglupta,Eucalyptus deglupta Blume.,1,0,1,,,,13.4,13.4,13.4
รกฟ้า,Terminalia elliptica,Terminalia elliptica Willd.,44,40,38,4,9.65,16,3,10.01,17.8
รักขาว,Semecarpus cochinchinensis,Semecarpus cochinchinensis Engl.,4,2,3,16,16.5,17,11.5,13.5,15.5
รักใหญ่,Gluta usitata,"Gluta usitata (Wall.) Ding Hou",40,29,39,4,7.82,15,4.6,8.31,13.5
รัง,Pentacme siamensis,"Pentacme siamensis (Miq.) Kurz",92,56,87,2.5,11.25,20.1,3,9.44,21
รำเพย,Cascabela thevetia,"Cascabela thevetia (L.) Lippold",4,4,1,3.8,5.3,6.2,6,6,6
ละมุดสีดา,Manilkara kauki,"Manilkara kauki (L.) Dubard",1,0,1,,,,13,13,13
ลั่นทมขาว,Plumeria obtusa,Plumeria obtusa L.,52,27,52,1.9,4.58,10.5,2,5.6,42
ลั่นทมแดง,Plumeria rubra,Plumeria rubra L.,27,8,27,3.4,3.98,5.2,3,4.36,6.5
ลาย,Microcos paniculata,Microcos paniculata L.,17,17,16,4,7.44,12,7.2,10.11,14.8
ลำดวน,Sphaerocoryne lefevrei,"Sphaerocoryne lefevrei (Baill.) D.M.Johnson & N.A.Murray",40,7,40,4.8,6.64,8.7,3.9,9.23,81
ลำบิด,Diospyros ferrea,"Diospyros ferrea (Willd.) Bakh.",3,0,3,,,,4.8,6.37,8.3
ลำบิดดง,Diospyros filipendula,Diospyros filipendula Pierre ex Lecomte,5,4,4,4.5,6.25,10,3,6.83,11.7
ลำพู,Sonneratia caseolaris,"Sonneratia caseolaris (L.) Engl.",102,24,96,4.5,10.54,19.5,3,7.44,18.5
ลำแพน,Sonneratia alba,Sonneratia alba J.Sm.,11,6,10,2.4,5.25,7.8,3.5,7.08,10.8
ลำไย,Dimocarpus longan,Dimocarpus longan Lour.,21,17,21,5,5.86,7,5.2,6.82,14
ศรีตรัง,Jacaranda obtusifolia,Jacaranda obtusifolia Bonpl.,16,5,16,3.1,10.34,17.8,0,7.02,17.6
ศรียะลา,Saraca thaipingensis,Saraca thaipingensis Cantley ex Prain,2,1,2,11.7,11.7,11.7,4.8,6.65,8.5
สกุณี,Terminalia calamansanai,"Terminalia calamansanai (Blanco) Rolfe",19,19,19,5,7.88,11.3,3.5,9.6,19.1
สตาร์แอปเปิ้ล,Chrysophyllum cainito,Chrysophyllum cainito L.,9,8,9,5.7,8.38,11.7,6.9,11.46,23.1
สนทราย,Baeckea frutescens,Baeckea frutescens L.,4,0,4,,,,7,10.73,13.1
สนทะเล,Casuarina equisetifolia,Casuarina equisetifolia L.,395,109,389,6.2,23.82,37.8,0,21.56,43.3
สนแผง,Chamaecyparis obtusa,"Chamaecyparis obtusa (Siebold & Zucc.) Endl.",2,0,2,,,,10,10.1,10.2
สบู่ดำ,Jatropha curcas,Jatropha curcas L.,1,0,1,,,,4.1,4.1,4.1
สมอพิเภก,Terminalia bellirica,"Terminalia bellirica (Gaertn.) Roxb.",20,12,20,3.3,10.3,19.8,3.6,12.7,24.4
สมอร่อง,Lagerstroemia subangulata,"Lagerstroemia subangulata (Craib) Furtado & Montien",1,0,1,,,,7.1,7.1,7.1
สมอไทย,Terminalia chebula,Terminalia chebula Retz.,21,11,21,3.4,5.92,12,3.2,7.73,15
สมัก,Syzygium polyanthum,"Syzygium polyanthum (Wight) Walp.",8,0,8,,,,6,12.01,18
สวอง,Vitex limonifolia,Vitex limonifolia Wall. ex C.B.Clarke,26,16,25,7.4,11.67,14.6,6,8.91,13
สองสลึง,Lophopetalum duperreanum,Lophopetalum duperreanum  Pierre,1,0,1,,,,5.1,5.1,5.1
สะตอ,Parkia speciosa,Parkia speciosa Hassk.,11,3,11,19.8,22.27,27,14.8,18.6,28.3
สะทางเล็ก,Xylopia pierrei,Xylopia pierrei Hance,2,0,2,,,,7,8.05,9.1
สะท้อนรอก,Elaeocarpus tectorius,"Elaeocarpus tectorius (Lour.) Poir.",2,0,2,,,,11,15.1,19.2
สะเดา,Azadirachta indica,Azadirachta indica A.Juss.,215,36,215,3,8.39,14.2,2.5,9.58,19.6
สะเดาปัก,Vatica harmandiana,Vatica harmandiana Pierre,106,96,106,3.7,6.28,11.2,3,7.26,21.6
สะเดาเทียม,Azadirachta excelsa,"Azadirachta excelsa (Jack) Jacobs",2,1,2,14.5,14.5,14.5,14.4,14.55,14.7
สะเต้า,Pterospermum grandiflorum,Pterospermum grandiflorum Craib,4,0,4,,,,6,11.75,15
สะแกนา,Combretum quadrangulare,Combretum quadrangulare Kurz,9,9,9,4.5,7.78,10.5,6.2,9.68,12.5
สะแกแสง,Cananga latifolia,Cananga latifolia Finet & Gagnep.,3,3,3,16,17,18.5,2.6,12.33,18.4
สัก,Tectona grandis,Tectona grandis L.f.,376,106,371,4,10.7,21.3,2.1,11.63,31.3
สังกะโต้ง,Aglaia lawii,"Aglaia lawii (Wight) C.J.Saldanha",2,0,2,,,,8.3,11.15,14
สัตตบรรณ,Alstonia scholaris,"Alstonia scholaris (L.) R.Br.",143,83,141,0.7,10.33,87.2,0,8.91,19.9
สั่งทำ,Diospyros buxifolia,"Diospyros buxifolia (Blume) Hiern",1,0,1,,,,16,16,16
สาธร,Imbralyx leucanthus,"Imbralyx leucanthus (Kurz) Z.Q.Song",26,16,20,0,8.51,13,3.5,7.77,12
สารภี,Mammea siamensis,"Mammea siamensis (Miq.) T.Anderson",7,5,7,3.8,5,6.2,2,7.09,14.2
สาละลังกา,Couroupita guianensis,Couroupita guianensis Aubl.,25,19,25,3,4.13,7.5,3.3,5.91,13.6
สำเภา,Chaetocarpus castanicarpus,"Chaetocarpus castanicarpus (Roxb.) Thwaites",5,5,5,3.5,5.28,6.3,0,4.78,6.9
สำโรง,Sterculia foetida,Sterculia foetida L.,25,17,25,5.6,13.54,16,6.3,12.23,24.4
สีเสียด,Senegalia catechu,"Senegalia catechu (L.f.) P.J.H.Hurter & Mabb.",4,2,4,8.2,11.35,14.5,4,9.25,17.6
สุพรรณิการ์,Cochlospermum religiosum,"Cochlospermum religiosum (L.) Alston",3,3,1,4.9,9.53,13.7,10.4,10.4,10.4
ส้มกบ,Hymenodictyon orixense,"Hymenodictyon orixense (Roxb.) Mabb.",16,15,15,2.4,8.17,19,4.2,8.19,15
ส้มโอ,Citrus maxima,"Citrus maxima (Burm.) Merr.",1,1,0,4.3,4.3,4.3,,,
ส้านชะวา,Dillenia suffruticosa,"Dillenia suffruticosa (Griff.) Martelli",4,0,4,,,,3.8,4.4,5
ส้านหิ่ง,Dillenia parviflora,Dillenia parviflora Griff.,1,1,1,19.7,19.7,19.7,19.8,19.8,19.8
ส้านใบเล็ก,Dillenia ovata,Dillenia ovata Wall. ex Hook.f. & Thomson,3,1,3,6.5,6.5,6.5,6.1,6.77,7.5
ส้านใหญ่,Dillenia obovata,"Dillenia obovata (Blume) Hoogland",5,1,4,8,8,8,7.8,11.15,15
หงอนไก่,Heritiera littoralis,Heritiera littoralis Aiton,1,0,1,,,,5.1,5.1,5.1
หนามแท่ง,Catunaregam tomentosa,"Catunaregam tomentosa (Blume ex DC.) Tirveng.",2,0,2,,,,6,7.1,8.2
หมักม่อ,Ridsdalea wittii,"Ridsdalea wittii (Craib) J.T.Pereira",2,0,2,,,,6.3,6.6,6.9
หมัน,Cordia cochinchinensis,Cordia cochinchinensis Gagnep.,10,9,10,6.5,11.12,21.3,5.6,7.89,11
หมันดง,Cordia dichotoma,Cordia dichotoma G.Forst.,16,15,15,3,6.33,13,3.23,6.25,10
หมันทะเล,Cordia subcordata,Cordia subcordata L.,3,3,1,3.5,4.67,5.5,6,6,6
หมีเหม็น,Litsea glutinosa,"Litsea glutinosa (Lour.) C.B.Rob.",27,15,26,5.5,9.7,18,4.2,9.94,24.5
หม่อน,Morus alba,Morus alba L.,1,1,1,4.5,4.5,4.5,,,
หลุมพอ,Intsia palembanica,Intsia palembanica Miq.,12,0,12,,,,7.8,11.91,20.5
หว้า,Syzygium cumini,"Syzygium cumini (L.) Skeels",66,37,63,3.4,6.59,15,3.9,8.99,24.6
หว้านา,Syzygium cinereum,"Syzygium cinereum (Kurz) Chantar. & J.Parn.",5,2,4,4,7,10,12.1,15.53,19.9
หัวแมงวัน,Buchanania reticulata,Buchanania reticulata Hance,1,0,1,,,,11,11,11
หัสคุณ,Micromelum minutum,"Micromelum minutum (G.Forst.) Wight & Arn.",15,0,15,,,,5,6.04,7.6
หางนกยูงฝรั่ง,Delonix regia,"Delonix regia (Bojer ex Hook.) Raf.",180,102,170,1.4,10.51,28.6,0,11.47,26.4
หาดหนุน,Artocarpus gomezianus,Artocarpus gomezianus Wall. ex Trécul,1,0,1,,,,11,11,11
หูกระจง,Terminalia ivorensis,Terminalia ivorensis A.Chev.,66,12,66,2.8,7.36,12,2.5,7.97,20.4
หูกวาง,Terminalia catappa,Terminalia catappa L.,28,21,28,2.4,11.37,27.3,4,12.94,37
อวบดำ,Tetrapilus salicifolius,"Tetrapilus salicifolius (Wall. ex G.Don) de Juana",67,66,67,3.5,5.69,8,0,6.23,8.6
อะราง,Peltophorum dasyrhachis,"Peltophorum dasyrhachis (Miq.) Kurz",60,21,56,4.7,10.22,16,3.6,10.31,21
อินจัน,Diospyros decandra,Diospyros decandra Lour.,13,4,13,4.3,9.32,13,4,11.35,18
อินทนิลน้ำ,Lagerstroemia speciosa,"Lagerstroemia speciosa (L.) Pers.",165,89,160,0,6.9,16,0,7.45,16.7
อินทนิลบก,Lagerstroemia macrocarpa,Lagerstroemia macrocarpa Kurz,42,10,40,1.9,6.75,10.3,4.6,9.6,23.5
อินทรชิต,Lagerstroemia loudonii,Lagerstroemia loudonii Teijsm. & Binn.,165,44,164,2.1,7.03,15,2.5,9.32,27
อีแปะ,Vitex scabra,Vitex scabra Wall. ex Schauer,1,0,1,,,,7,7,7
อโศกอินเดีย,Monoon longifolium,"Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders",43,35,43,2,6.07,10,2.5,6.56,16.9
เกด,Manilkara hexandra,"Manilkara hexandra (Roxb.) Dubard",6,2,6,5,7,9,5.79,10.06,13.8
เก็ดขาว,Dalbergia ovata,Dalbergia ovata Graham ex Benth.,6,1,6,6.3,6.3,6.3,3.6,7.72,12
เขลง,Dialium cochinchinense,Dialium cochinchinense Pierre,24,20,23,5.2,10.58,20.7,3.7,9.53,13.7
เข็มขาว,Ixora finlaysoniana,Ixora finlaysoniana Wall. ex G.Don,1,0,1,,,,3,3,3
เคล็ดหนู,Canthium horridum,Canthium horridum Blume,2,2,2,5.9,6.3,6.7,7.1,7.5,7.9
เคี่ยม,Cotylelobium lanceolatum,Cotylelobium lanceolatum Craib,3,0,3,,,,4.6,9.3,12.7
เค็ด,Catunaregam spathulifolia,Catunaregam spathulifolia Tirveng.,1,1,1,3.2,3.2,3.2,4.6,4.6,4.6
เงาะ,Nephelium lappaceum,Nephelium lappaceum L.,1,0,1,,,,2.6,2.6,2.6
เฉียงพร้านางแอ,Carallia brachiata,"Carallia brachiata (Lour.) Merr.",27,15,27,5,9.32,20.1,5.1,15.37,29
เชอร์รี่ไทย,Malpighia glabra,Malpighia glabra L.,3,2,3,4,4,4,3.5,4.7,5.6
เชียด,Cinnamomum iners,"Cinnamomum iners (Reinw. ex Nees & T.Nees) Blume",5,5,5,8.8,10.9,13.7,7.8,12.8,15.9
เซียนท้อ,Lucuma campechiana,Lucuma campechiana Kunth,1,0,1,,,,7.1,7.1,7.1
เดื่อฉิ่ง,Ficus fistulosa,Ficus fistulosa Reinw. ex Blume,3,3,3,4.5,7.83,10.4,8.7,9.6,10.5
เต็ง,Shorea obtusa,Shorea obtusa Wall. ex Blume,243,60,239,2.3,12.27,18,2.5,10.16,24.2
เต็งหนาม,Bridelia retusa,"Bridelia retusa (L.) A.Juss.",6,2,6,6,10,14,4.1,7.38,12.6
เทพทาโร,Cinnamomum parthenoxylon,"Cinnamomum parthenoxylon (Jack) Meisn.",2,2,2,6.5,6.85,7.2,7.2,8.95,10.7
เทียะ,Alstonia spatulata,Alstonia spatulata Blume,93,0,93,,,,2.5,5.4,16.2
เบาบับ,Adansonia digitata,Adansonia digitata L.,2,0,2,,,,5.8,7.75,9.7
เปล้าแพะ,Croton hutchinsonianus,Croton hutchinsonianus Hosseus,3,3,3,3.7,4.53,5.2,5.6,5.9,6.3
เปล้าใหญ่,Croton persimilis,Croton persimilis Müll.Arg.,3,1,3,6,6,6,4.6,6.97,8.3
เพกา,Oroxylum indicum,"Oroxylum indicum (L.) Kurz",50,16,50,3.8,9.66,19.6,0,10.19,21.5
เมา,Syzygium grande,"Syzygium grande (Wight) Walp.",19,1,19,8.2,8.2,8.2,6.2,9.97,13.6
เม่าสร้อย,Antidesma acidum,Antidesma acidum Retz.,1,0,1,,,,4.5,4.5,4.5
เม่าไข่ปลา,Antidesma ghaesembilla,Antidesma ghaesembilla Gaertn.,27,10,26,4,8.52,11,3.3,8.05,13.8
เลียงฝ้าย,Kydia calycina,Kydia calycina Roxb.,1,0,1,,,,18.2,18.2,18.2
เลียบ,Ficus subpisocarpa,Ficus subpisocarpa Gagnep.,6,3,5,5.9,10.33,15,0,8.66,17.9
เลี่ยน,Melia azedarach,Melia azedarach L.,5,0,5,,,,5.9,10.66,16.9
เลือดแรด,Knema globularia,"Knema globularia (Lam.) Warb.",3,3,3,6.5,8.17,10,3.4,5.53,7.2
เสม็ดขาว,Melaleuca cajuputi,Melaleuca cajuputi Powell,317,0,317,,,,2.5,8.95,54
เสม็ดแดง,Syzygium antisepticum,"Syzygium antisepticum (Blume) Merr. & L.M.Perry",36,2,36,5,5.25,5.5,5.6,8.44,11
เสลาเปลือกบาง,Lagerstroemia venusta,Lagerstroemia venusta Wall. ex C.B.Clarke,6,0,6,,,,4.1,7.72,18.2
เสลาเปลือกหนา,Lagerstroemia villosa,Lagerstroemia villosa Wall. ex Kurz,1,0,1,,,,15,15,15
เสียวใหญ่,Phyllanthus angkorensis,Phyllanthus angkorensis Beille,4,4,3,6.5,7.75,9,4.9,7.57,9.7
เสี้ยวดอกขาว,Bauhinia saccocalyx,Bauhinia saccocalyx Pierre,2,0,2,,,,8.8,48.4,88
เสี้ยวใหญ่,Piliostigma malabaricum,"Piliostigma malabaricum (Roxb.) Benth.",8,4,6,4.4,5.35,6.2,5.1,5.85,8
เหมือดจี้,Memecylon scutellatum,"Memecylon scutellatum (Lour.) Hook. & Arn.",1,0,1,,,,5.8,5.8,5.8
เหมือดวอน,Aporosa wallichii,Aporosa wallichii Hook.f.,6,6,4,4,8.92,13,7.1,10.28,13
เหมือดโลด,Aporosa villosa,"Aporosa villosa (Lindl.) Baill.",67,41,65,2.5,5.9,13.5,3.5,5.96,13
เหรียง,Parkia timoriana,"Parkia timoriana (DC.) Merr.",2,2,2,16,16.9,17.8,14,14,14
เหลืองปรีดียาธร,Tabebuia aurea,"Tabebuia aurea (Silva Manso) Benth. & Hook.f. ex S.Moore",45,24,38,2,4.17,7,2.2,7.28,67.3
เหลืองอินเดีย,Handroanthus chrysanthus,"Handroanthus chrysanthus (Jacq.) S.O.Grose",43,39,43,2.2,5.07,6.2,2.5,5.68,8.4
เหลืองเชียงราย,Handroanthus chrysotrichus,"Handroanthus chrysotrichus (Mart. ex DC.) Mattos",8,4,8,4.5,5.95,7.8,5,8.09,11.6
เอกมหาชัย,Simarouba amara,Simarouba amara Aubl.,4,0,4,,,,5.2,6.95,8.8
เอียน,Neolitsea zeylanica,"Neolitsea zeylanica (Nees) Merr.",1,0,1,,,,5.2,5.2,5.2
เเซะ,Adinobotrys atropurpureus,"Adinobotrys atropurpureus (Wall.) Dunn",1,1,1,15.8,15.8,15.8,14.2,14.2,14.2
แก้ว,Murraya paniculata,"Murraya paniculata (L.) Jack",11,2,11,4.2,4.25,4.3,2.8,4.26,5.2
แก้วมุกดา,Fagraea ceilanica,Fagraea ceilanica Thunb.,1,1,1,4.1,4.1,4.1,3.5,3.5,3.5
แข้งกวาง,Wendlandia tinctoria,"Wendlandia tinctoria (Roxb.) DC.",2,0,2,,,,5.5,7.75,10
แคทราย,Stereospermum neuranthum,Stereospermum neuranthum Kurz,2,2,1,5.4,6.8,8.2,14.3,14.3,14.3
แคนา,Dolichandrone serrulata,"Dolichandrone serrulata (Wall. ex DC.) Seem.",68,32,66,3,8.63,18,3,8.87,21.8
แคบิด,Fernandoa adenophylla,"Fernandoa adenophylla (Wall. ex G.Don) Steenis",5,3,5,7.2,9.17,12.5,3.5,7.5,10.4
แคฝรั่ง,Gliricidia sepium,"Gliricidia sepium (Jacq.) Kunth",5,3,5,6,6.2,6.3,4.8,7.94,12.8
แคยอดดำ,Stereospermum fimbriatum,"Stereospermum fimbriatum (Wall. ex G.Don) DC.",1,1,1,9.8,9.8,9.8,10.2,10.2,10.2
แครกฟ้า,Heterophragma sulfureum,Heterophragma sulfureum Kurz,4,3,4,3,5.67,8,3.3,8.1,13
แคหางค่าง,Markhamia stipulata,"Markhamia stipulata (Wall.) Seem.",26,20,21,5.5,10.51,18,4,10.19,22
แคแสด,Spathodea campanulata,Spathodea campanulata P.Beauv.,2,2,2,4.2,4.35,4.5,4.5,5.85,7.2
แจง,Maerua siamensis,"Maerua siamensis (Kurz) Pax",5,4,5,3.6,4.5,5.1,2.3,4.11,6.24
แดง,Xylia xylocarpa var. kerrii,"Xylia xylocarpa var. kerrii (Craib & Hutch.) I.C.Nielsen",174,106,173,1.8,8.89,23,2.1,9.86,22.5
แดงหิน,Pleurostylia opposita,"Pleurostylia opposita (Wall.) Alston",1,0,1,,,,6.9,6.9,6.9
แปรงล้างขวด,Melaleuca citrina,"Melaleuca citrina (Curtis) Dum.Cours.",2,1,2,6,6,6,6.7,7.25,7.8
แสงจันทร์,Pisonia grandis,Pisonia grandis R.Br.,2,0,2,,,,8,9.7,11.4
แสมขาว,Avicennia alba,Avicennia alba Blume,220,186,174,4,6.72,9,3,7.37,12
แสมดำ,Avicennia officinalis,Avicennia officinalis L.,1,0,1,,,,7,7,7
แสมทะเล,Avicennia marina,"Avicennia marina (Forssk.) Vierh.",41,1,41,6.5,6.5,6.5,5.8,8.47,11
แสมสาร,Senna garrettiana,"Senna garrettiana (Craib) H.S.Irwin & Barneby",36,13,33,7,10.55,22.6,5.2,9.55,15
แสลงใจ,Strychnos nux-blanda,Strychnos nux-blanda A.W.Hill,8,7,8,4.8,7.89,15,3.8,7.9,11.5
แหนนา,Terminalia glaucifolia,Terminalia glaucifolia Craib,19,4,19,14.5,14.85,15.5,4.2,12.89,23.8
แอ๊ดใบเล็ก,Erismanthus sinensis,Erismanthus sinensis Oliv.,2,0,2,,,,8,10,12
โกงกางใบเล็ก,Rhizophora apiculata,Rhizophora apiculata Blume,102,0,102,,,,5.7,8.5,10.7
โกงกางใบใหญ่,Rhizophora mucronata,Rhizophora mucronata Poir.,9,5,9,4.2,4.8,5.5,4,6.8,10.9
โปรงแดง,Ceriops tagal,"Ceriops tagal (Perr.) C.B.Rob.",91,0,91,,,,4.2,7.04,10
โพขี้นก,Ficus rumphii,Ficus rumphii Blume,14,3,14,9.5,11.4,15,4.5,11.06,23
โพทะเล,Thespesia populnea,"Thespesia populnea (L.) Sol. ex Corrêa",17,16,15,5,8.94,14,3.5,8.1,12.7
โพบาย,Balakata baccata,"Balakata baccata (Roxb.) Esser",2,2,2,16.7,18.2,19.7,18.7,20.55,22.4
โพศรีมหาโพ,Ficus religiosa,Ficus religiosa L.,33,11,32,6.9,9.08,16,5.2,10.72,19.2
โมกบ้าน,Wrightia religiosa,"Wrightia religiosa (Teijsm. & Binn.) Benth. ex Kurz",1,1,1,3,3,3,4.87,4.87,4.87
โมกมัน,Wrightia arborea,"Wrightia arborea (Dennst.) Mabb.",204,133,204,3.5,9.68,19,3.5,9.77,22.1
โมกใหญ่,Holarrhena pubescens,Holarrhena pubescens Wall. ex G.Don,8,4,8,2.7,5.35,7,4,17.34,73
โสกน้ำ,Saraca indica,Saraca indica L.,3,0,3,,,,6,7.5,9
โสกสะปัน,Brownea grandiceps,Brownea grandiceps Jacq.,1,1,1,6.3,6.3,6.3,10.6,10.6,10.6
ไกร,Ficus concinna,"Ficus concinna (Miq.) Miq.",11,5,11,8,10.72,13,5.5,11.12,18.3
ไข่เน่า,Vitex glabrata,Vitex glabrata R.Br.,3,0,3,,,,4.2,10.93,16.7
ไคร้ย้อย,Elaeocarpus grandiflorus,Elaeocarpus grandiflorus Sm.,1,1,1,2.5,2.5,2.5,4.6,4.6,4.6
ไทรขี้ใต้,Ilex cymosa,Ilex cymosa Blume,1,0,1,,,,11.1,11.1,11.1
ไทรย้อยใบทู่,Ficus microcarpa,Ficus microcarpa L.f.,44,23,42,2.3,6.07,14,1.6,6.44,14
ไทรย้อยใบแหลม,Ficus benjamina,Ficus benjamina L.,37,24,35,3.5,8.33,15,3,10.79,85
ไทรเลียบ,Ficus superba,"Ficus superba (Miq.) Miq.",6,3,6,13,13.33,14,3,8.38,15
ไทรใบดาบ,Ficus maclellandii,Ficus maclellandii King,10,1,10,7,7,7,3.5,8.01,14.9
ไฮ,Ficus geniculata,Ficus geniculata Kurz,8,7,8,2.5,7.43,10.5,4,8.61,12
,Antidesma sp.,Antidesma sp.,9,9,9,4.3,4.97,6,5.2,6.33,7.8
,Antidesma sp.Sisaket1,Antidesma sp.Sisaket1,2,0,2,,,,5.9,6.45,7
,Aporosa sp.,Aporosa sp.,1,1,1,6.4,6.4,6.4,6.7,6.7,6.7
,Aporosa sp.Chanthaburi1,Aporosa sp.Chanthaburi1,1,0,1,,,,4.2,4.2,4.2
